recording id,timestamp,Seconds after dusk,Seconds before dawn
162301,2018-06-25T18:06:00.000Z,,-3599
259122,2019-03-05T11:23:01.000Z,,-22498
273967,2019-04-02T17:35:00.000Z,,-1799
228030,2019-01-16T14:11:03.000Z,,-9296
172409,2018-09-13T08:36:01.000Z,7201,
253310,2019-02-23T16:28:01.000Z,,-3598
165354,2018-07-28T09:57:02.000Z,14402,
202338,2018-11-29T15:42:00.000Z,,-2399
283436,2019-04-23T11:11:01.000Z,18001,
280712,2019-04-17T16:19:07.000Z,,-7132
164120,2018-07-15T06:27:00.000Z,2400,
182363,2018-10-08T07:08:00.000Z,600,
166939,2018-08-13T06:50:01.000Z,2401,
182890,2018-10-10T11:00:02.000Z,,-22257
162194,2018-06-23T06:06:00.000Z,1800,
277677,2019-04-11T14:28:05.000Z,,-13494
163961,2018-07-13T15:46:04.000Z,,-11815
164606,2018-07-20T17:59:00.000Z,,-3599
167134,2018-08-15T11:12:04.000Z,18004,
170696,2018-09-08T16:32:04.000Z,,-5335
278120,2019-04-12T15:26:01.000Z,,-10078
246601,2019-02-12T12:50:01.000Z,,-15958
317752,2019-06-09T06:35:00.000Z,3600,
168004,2018-08-24T17:32:00.000Z,,-2999
261336,2019-03-10T13:16:03.000Z,,-16016
169838,2018-09-06T13:30:02.000Z,,-16437
168480,2018-08-28T14:23:04.000Z,,-14035
320133,2019-06-13T06:25:00.000Z,3000,
253022,2019-02-23T07:47:00.000Z,600,
163315,2018-07-06T11:41:02.000Z,21602,
168203,2018-08-26T13:21:03.000Z,,-17936
162577,2018-06-29T06:08:00.000Z,1800,
282846,2019-04-22T08:12:00.000Z,7200,
254030,2019-02-24T17:19:00.000Z,,-599
166875,2018-08-12T16:09:05.000Z,,-8934
189208,2018-10-26T15:50:00.000Z,,-3599
269408,2019-03-26T07:21:00.000Z,1800,
283520,2019-04-23T17:24:00.000Z,,-3599
222688,2019-01-05T14:13:03.000Z,,-8516
273657,2019-04-02T07:01:00.000Z,1200,
264972,2019-03-17T14:05:04.000Z,,-13495
176252,2018-09-22T12:43:03.000Z,,-17756
167577,2018-08-20T17:16:06.000Z,,-4313
186506,2018-10-19T16:29:00.000Z,,-1799
276454,2019-04-08T09:32:02.000Z,10802,
308677,2019-05-24T18:40:01.000Z,,-598
259594,2019-03-06T09:21:01.000Z,7201,
166297,2018-08-06T06:14:00.000Z,600,
293399,2019-04-29T09:04:01.000Z,10801,
167404,2018-08-18T18:11:00.000Z,,-1199
176691,2018-09-24T07:15:00.000Z,1800,
268548,2019-03-24T07:34:00.000Z,2400,
167876,2018-08-23T06:28:00.000Z,600,
275244,2019-04-05T12:36:03.000Z,,-19856
223916,2019-01-08T09:03:00.000Z,3000,
162208,2018-06-23T17:36:04.000Z,,-5395
227653,2019-01-15T15:55:00.000Z,,-2999
234199,2019-01-28T08:35:00.000Z,1800,
186435,2018-10-19T10:08:01.000Z,10801,
168950,2018-08-31T18:03:00.000Z,,-599
282482,2019-04-21T16:14:04.000Z,,-7675
177096,2018-09-25T15:46:06.000Z,,-6473
295747,2019-05-02T11:00:01.000Z,18001,
164509,2018-07-19T16:50:04.000Z,,-7795
309682,2019-05-26T07:40:02.000Z,7202,
238500,2019-01-30T14:03:05.000Z,,-10734
184587,2018-10-14T07:03:01.000Z,1,
162259,2018-06-24T18:46:00.000Z,,-1199
218109,2018-12-27T11:12:02.000Z,,-18957
167667,2018-08-21T16:17:06.000Z,,-7793
169165,2018-09-02T12:27:02.000Z,,-20577
316923,2019-06-07T18:10:00.000Z,,-2999
263846,2019-03-14T16:10:04.000Z,,-5815
162872,2018-07-02T13:39:04.000Z,,-19615
166680,2018-08-10T10:07:01.000Z,14401,
167389,2018-08-18T13:14:04.000Z,,-19015
266393,2019-03-19T13:02:01.000Z,,-17398
162064,2018-06-20T11:35:00.000Z,21600,
192249,2018-11-03T07:34:00.000Z,600,
197599,2018-11-18T15:47:00.000Z,,-2399
307750,2019-05-23T06:02:00.000Z,1200,
231800,2019-01-23T08:48:01.000Z,2401,
290425,2019-04-25T18:15:00.000Z,,-599
192972,2018-11-06T08:27:00.000Z,3600,
186438,2018-10-19T13:08:02.000Z,,-13857
186681,2018-10-20T15:09:06.000Z,,-6473
177329,2018-09-27T13:48:06.000Z,,-13373
164290,2018-07-17T06:38:00.000Z,3000,
315166,2019-06-04T06:26:00.000Z,3000,
211219,2018-12-16T12:06:02.000Z,,-15357
208950,2018-12-10T15:51:01.000Z,,-1798
175813,2018-09-19T17:34:00.000Z,,-599
295748,2019-05-02T12:00:01.000Z,,-23518
276130,2019-04-07T15:33:06.000Z,,-9353
170078,2018-09-07T17:32:00.000Z,,-1799
281679,2019-04-19T17:20:00.000Z,,-3599
275363,2019-04-05T16:36:05.000Z,,-5454
167387,2018-08-18T11:14:02.000Z,18002,
242529,2019-02-04T16:17:00.000Z,,-2999
226968,2019-01-14T14:12:02.000Z,,-9117
173921,2018-09-14T17:31:01.000Z,,-1198
222436,2019-01-05T12:13:02.000Z,,-15717
175523,2018-09-18T16:45:00.000Z,,-3599
170050,2018-09-07T07:11:00.000Z,2400,
307147,2019-05-22T07:42:00.000Z,7200,
201340,2018-11-27T14:50:04.000Z,,-5575
309033,2019-05-25T09:40:00.000Z,14400,
177817,2018-09-29T15:50:01.000Z,,-5878
167666,2018-08-21T15:17:05.000Z,,-11394
198027,2018-11-20T08:02:00.000Z,1200,
197526,2018-11-18T09:40:01.000Z,7201,
213665,2018-12-20T16:04:00.000Z,,-1199
199865,2018-11-24T15:54:00.000Z,,-1799
164578,2018-07-20T08:50:00.000Z,10800,
282398,2019-04-21T09:14:01.000Z,10801,
225118,2019-01-10T09:13:01.000Z,3601,
262146,2019-03-11T17:04:00.000Z,,-2399
273121,2019-04-01T07:42:00.000Z,3600,
219321,2018-12-29T15:29:00.000Z,,-3599
304837,2019-05-18T14:45:03.000Z,,-14456
295213,2019-05-01T18:11:00.000Z,,-1199
260086,2019-03-07T12:20:03.000Z,,-19196
220951,2019-01-02T15:42:00.000Z,,-2999
163876,2018-07-12T18:53:00.000Z,,-599
229003,2019-01-18T08:31:00.000Z,1200,
183921,2018-10-12T15:01:06.000Z,,-7673
281073,2019-04-18T08:18:01.000Z,7201,
279685,2019-04-15T15:22:04.000Z,,-10435
176251,2018-09-22T11:43:03.000Z,18003,
184594,2018-10-14T09:03:01.000Z,7201,
193849,2018-11-09T14:30:05.000Z,,-7434
296443,2019-05-03T17:53:00.000Z,,-2399
234301,2019-01-28T16:09:00.000Z,,-2999
167148,2018-08-15T17:44:00.000Z,,-2999
256936,2019-03-01T07:39:00.000Z,600,
162443,2018-06-27T18:56:00.000Z,,-599
162165,2018-06-22T18:25:00.000Z,,-2399
258278,2019-03-04T16:57:00.000Z,,-2399
313345,2019-06-01T05:47:00.000Z,600,
192611,2018-11-04T15:39:00.000Z,,-3599
224613,2019-01-09T09:03:00.000Z,3000,
193851,2018-11-09T15:34:00.000Z,,-3599
162058,2018-06-20T06:25:00.000Z,3000,
177192,2018-09-26T07:27:00.000Z,2400,
189949,2018-10-28T16:37:00.000Z,,-599
241420,2019-02-03T11:00:02.000Z,,-21957
267675,2019-03-22T12:57:03.000Z,,-17876
167390,2018-08-18T14:14:04.000Z,,-15415
209853,2018-12-12T15:31:00.000Z,,-2999
169255,2018-09-03T06:38:00.000Z,600,
179923,2018-10-03T07:23:00.000Z,1800,
298412,2019-05-06T18:25:00.000Z,,-599
176340,2018-09-22T15:43:04.000Z,,-6955
213558,2018-12-20T08:39:00.000Z,1800,
211876,2018-12-17T11:07:01.000Z,,-18958
244439,2019-02-08T12:55:01.000Z,,-15418
268167,2019-03-23T13:56:03.000Z,,-14396
215421,2018-12-23T12:10:01.000Z,,-15298
253309,2019-02-23T15:37:04.000Z,,-6655
313191,2019-05-31T18:05:00.000Z,,-2999
162239,2018-06-24T05:56:00.000Z,1200,
290179,2019-04-25T07:09:00.000Z,3600,
176496,2018-09-23T12:44:01.000Z,,-17578
167139,2018-08-15T16:12:08.000Z,,-8511
192612,2018-11-04T15:49:00.000Z,,-2999
199469,2018-11-23T16:14:00.000Z,,-599
193787,2018-11-09T07:50:00.000Z,1200,
257365,2019-03-02T07:47:00.000Z,1200,
302656,2019-05-14T13:48:05.000Z,,-17634
319255,2019-06-11T18:22:00.000Z,,-2399
191544,2018-10-31T15:44:00.000Z,,-3599
163741,2018-07-11T06:14:00.000Z,1800,
168645,2018-08-29T09:23:01.000Z,10801,
279045,2019-04-14T10:23:01.000Z,14401,
189129,2018-10-26T12:15:02.000Z,,-16497
166579,2018-08-09T07:07:00.000Z,3600,
307420,2019-05-22T18:19:00.000Z,,-1799
280288,2019-04-16T17:57:00.000Z,,-1199
176433,2018-09-23T07:24:00.000Z,2400,
166507,2018-08-08T10:06:02.000Z,14402,
268549,2019-03-24T07:44:00.000Z,3000,
210776,2018-12-15T08:35:00.000Z,1800,
178394,2018-10-01T17:05:00.000Z,,-1199
260358,2019-03-08T08:18:00.000Z,3600,
166003,2018-08-03T13:01:06.000Z,,-20813
161958,2018-06-18T06:25:00.000Z,3000,
162060,2018-06-20T07:35:00.000Z,7200,
255145,2019-02-27T14:31:04.000Z,,-10855
168945,2018-08-31T17:13:00.000Z,,-3599
221919,2019-01-04T15:13:06.000Z,,-4853
254738,2019-02-26T17:11:00.000Z,,-1199
216312,2018-12-25T09:01:00.000Z,3000,
168114,2018-08-25T18:11:00.000Z,,-599
166109,2018-08-04T10:02:00.000Z,14400,
289895,2019-04-24T17:25:00.000Z,,-3599
249217,2019-02-15T08:27:00.000Z,2400,
319020,2019-06-11T06:05:00.000Z,1800,
192614,2018-11-04T16:09:00.000Z,,-1799
264545,2019-03-16T12:07:03.000Z,,-20516
316830,2019-06-07T12:35:03.000Z,,-23096
193556,2018-11-08T11:29:01.000Z,,-18358
290894,2019-04-26T09:07:03.000Z,10803,
176431,2018-09-23T07:04:00.000Z,1200,
186504,2018-10-19T16:09:00.000Z,,-2999
307304,2019-05-22T14:42:02.000Z,,-14817
227373,2019-01-15T08:32:00.000Z,1200,
163508,2018-07-08T18:15:00.000Z,,-2999
269068,2019-03-25T07:53:00.000Z,3600,
169866,2018-09-06T17:44:00.000Z,,-1199
174267,2018-09-15T07:18:00.000Z,2400,
172683,2018-09-13T12:36:03.000Z,,-19016
176638,2018-09-23T17:07:00.000Z,,-1799
169023,2018-09-01T06:56:00.000Z,1800,
191793,2018-11-01T15:43:00.000Z,,-3599
162437,2018-06-27T17:37:04.000Z,,-5335
216051,2018-12-24T16:16:01.000Z,,-598
171875,2018-09-12T07:15:00.000Z,2400,
164775,2018-07-22T12:52:04.000Z,,-21955
276842,2019-04-09T09:30:03.000Z,10803,
193043,2018-11-06T15:27:06.000Z,,-4193
279042,2019-04-14T07:23:00.000Z,3600,
261188,2019-03-10T09:16:01.000Z,7201,
262046,2019-03-11T08:04:00.000Z,3000,
219179,2018-12-29T08:42:00.000Z,1800,
279684,2019-04-15T14:22:04.000Z,,-14035
214631,2018-12-22T09:00:00.000Z,3000,
267527,2019-03-22T07:37:00.000Z,2400,
166946,2018-08-13T12:10:03.000Z,,-23216
162056,2018-06-20T06:05:00.000Z,1800,
165878,2018-08-02T15:01:05.000Z,,-13674
166356,2018-08-06T18:05:00.000Z,,-2399
223381,2019-01-07T08:43:00.000Z,1800,
255036,2019-02-27T08:11:00.000Z,2400,
253315,2019-02-23T17:18:00.000Z,,-599
166484,2018-08-08T06:36:00.000Z,1800,
166233,2018-08-05T17:03:06.000Z,,-6173
245157,2019-02-09T16:53:00.000Z,,-1199
319963,2019-06-13T05:55:00.000Z,1200,
264820,2019-03-17T07:25:00.000Z,1200,
279148,2019-04-14T14:23:01.000Z,,-13978
166306,2018-08-06T11:04:02.000Z,18002,
269733,2019-03-26T14:51:03.000Z,,-11216
208496,2018-12-09T16:01:00.000Z,,-1199
220449,2019-01-01T14:13:04.000Z,,-8335
175809,2018-09-19T16:54:00.000Z,,-2999
254355,2019-02-25T13:34:02.000Z,,-14157
163336,2018-07-06T18:25:00.000Z,,-2399
185403,2018-10-16T14:05:03.000Z,,-10676
316311,2019-06-06T08:36:02.000Z,10802,
251006,2019-02-19T16:44:00.000Z,,-2399
298143,2019-05-06T06:36:00.000Z,2400,
250286,2019-02-18T10:43:01.000Z,10801,
233790,2019-01-27T11:05:02.000Z,,-21177
199681,2018-11-24T07:56:00.000Z,600,
164329,2018-07-17T18:31:00.000Z,,-1799
223382,2019-01-07T08:53:00.000Z,2400,
312435,2019-05-30T14:38:06.000Z,,-15413
207348,2018-12-08T08:20:00.000Z,1200,
